Nick                          S34     S33     S32     S31     S30     S29     S28     S27     S26     S25     S24     S23     S22     S21     S20     S19     S18     S17     S16     S15     S14     S13     S12     S11     S10      S9      S8      S7      S6      S5      S4      S3      S2      S1
Whithak                    2558.9  2558.9  2558.9  2558.9  2558.9  2558.9  2558.9  2558.9  2558.9  2558.9  2558.9  2558.9  2558.9  2508.6  2508.6  2508.6  2508.6  2508.6  2508.6  2508.6  2508.6  2508.6  2508.6  2508.6  2508.6  2508.6  2508.6  2508.6  2508.6  2508.6  2508.7  2508.7  2508.7  2508.7
Keiyakusha                 2540.0  2540.0  2540.0  2540.0  2540.0  2598.2  2663.0  2655.4  2688.8  2662.0  2641.7  2642.7  2643.6  2644.5  2645.5  2646.4  2647.3  2648.3  2649.2  2650.1  2651.1  2652.0  2652.9  2653.9  2654.8  2655.7  2656.7  2684.3  2744.5  2794.5  2794.5  2794.5  2794.5  2794.6
Minius                     2538.3  2538.3  2538.3  2538.3  2538.3  2538.3  2538.3  2538.3  2538.3  2538.3  2538.3  2538.3  2538.3  2538.3  2538.3  2538.3  2538.3  2538.2  2545.3  2508.2  2508.2  2508.2  2508.2  2508.2  2508.3  2508.3  2508.3  2508.3  2508.3  2508.3  2508.3  2508.3  2508.3  2508.3
C                          2538.1  2538.2  2538.2  2538.2  2538.2  2538.2  2538.2  2538.2  2538.1  2538.1  2538.1  2538.1  2538.1  2538.1  2538.1  2538.1  2538.1  2542.5  2526.8  2602.9  2589.9  2538.3  2526.1  2513.8  2501.6  2489.4  2477.2  2465.0  2529.2  2522.8  2522.8  2522.8  2522.8  2522.8
Zdzieli                    2537.2  2537.2  2537.2  2537.2  2537.2  2537.2  2537.2  2537.2  2537.2  2537.2  2537.2  2537.2  2537.2  2537.2  2537.2  2537.2  2537.2  2537.2  2537.2  2547.3  2566.5  2571.4  2545.1  2478.9  2483.4  2538.0  2521.7  2459.9  2492.8  2523.5  2523.5  2523.5  2523.5  2523.5
Nyoshi                     2533.1  2608.4  2652.3  2637.1  2676.3  2653.3  2621.3  2621.3  2621.3  2621.3  2621.3  2621.3  2621.3  2621.3  2621.3  2621.3  2621.3  2621.3  2621.3  2621.3  2621.3  2621.3  2621.3  2621.3  2621.3  2621.3  2621.3  2621.3  2621.3  2621.3  2621.3  2621.3  2621.3  2621.3
Mikołaj                    2523.2  2541.5  2534.8  2494.1  2427.1  2437.0  2489.4  2482.9  2432.0  2427.9  2427.9  2427.9  2427.9  2427.9  2427.9  2427.9  2427.9  2427.9  2427.8  2427.8  2427.9  2427.9  2427.9  2427.9  2427.9  2427.9  2427.9  2427.9  2427.9  2427.9  2427.9  2427.9  2427.9  2427.9
leping                     2522.9  2522.9  2522.9  2522.9  2522.8  2522.8  2522.8  2522.8  2522.8  2522.8  2522.9  2522.9  2522.9  2522.9  2522.9  2522.9  2522.9  2522.9  2522.8  2522.8  2522.8  2522.8  2522.9  2522.9  2522.9  2609.0  2585.6  2593.0  2603.3  2603.3  2603.3  2603.2  2603.2  2603.2
SanSanHan                  2521.8  2521.8  2521.8  2521.8  2521.8  2521.8  2521.8  2521.8  2521.8  2521.8  2521.8  2521.8  2521.8  2521.8  2521.7  2521.7  2521.8  2521.8  2521.8  2521.8  2521.8  2521.8  2521.8  2521.8  2521.8  2521.8  2521.8  2521.8  2521.8  2521.8  2521.8  2521.8  2521.8  2521.8
malubi                     2510.0  2510.0  2510.0  2510.0  2510.0  2510.0  2546.1  2551.9  2551.9  2551.9  2551.9  2551.9  2551.9  2551.9  2551.9  2551.9  2551.9  2551.9  2551.9  2551.9  2551.9  2551.9  2551.9  2551.9  2551.9  2551.9  2551.9  2551.9  2551.9  2551.9  2551.9  2551.9  2551.9  2551.9
